(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)"
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,4/30/2026,3/31/2026,2/27/2026,1/30/2026,12/31/2025,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,6/30/2025,5/30/2025,4/30/2025,3/31/2025,2/28/2025,1/31/2025,12/31/2024,11/29/2024,10/31/2024,9/30/2024,6/28/2024,3/29/2024,12/29/2023,9/29/2023,6/30/2023,3/31/2023,12/30/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020
Pacific Gas and Electric Company,SPS1945918942,4004218,694308KW6,PCG-PacGas+Elec 5.0 06/04/2028 FIX USD Corporate,4.53852,4.56944,4.07714,4.13255,4.20150,4.28195,4.36180,4.42030,4.38662,4.77786,4.86545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1945918943,4004218,694308KX4,PCG-PacGas+Elec 6.0 08/15/2035 FIX USD Corporate,5.51930,5.52912,5.12313,5.34631,5.30842,5.22973,5.34003,5.35554,5.52542,5.74698,5.84024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1961942870,4004218,694308KY2,PCG-PacGas+Elec 5.05 10/15/2032 FIX USD Corporate,5.08055,5.14871,4.72291,4.89139,4.93584,4.89687,5.01306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1961942871,4004218,694308KZ9,PCG-PacGas+Elec 6.1 10/15/2055 FIX USD Corporate,6.37024,6.35513,6.08012,6.18894,6.20423,6.05328,6.09692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1983758881,4004218,694308LB1,PCG-PacGas+Elec 6.0 05/01/2056 FIX USD Corporate,6.44778,6.34119,6.08667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1983758907,4004218,694308LA3,PCG-PacGas+Elec 5.2 05/01/2036 FIX USD Corporate,5.53304,5.51810,5.14818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS672609677,4004218,694308JG3,PCG-PacGas+Elec 2.5 02/01/2031 FIX USD Corporate,4.89203,4.88684,4.45804,4.67293,4.73245,4.68171,4.79033,4.85400,4.90054,5.16240,5.23663,5.39483,5.27571,5.33017,5.26720,5.68488,5.29299,4.99981,5.19100,4.75567,5.72133,5.47748,5.45439,6.64586,6.07653,5.50813,6.00871,6.83112,6.02681,4.42043,3.08549,3.07418,3.27540,3.19264,2.45490
Pacific Gas and Electric Company,SPS672614173,4004218,694308JF5,PCG-PacGas+Elec 2.1 08/01/2027 FIX USD Corporate,4.50506,4.46608,3.95166,4.09505,4.13780,4.27634,4.38891,4.27953,4.37760,4.72317,4.78917,4.93213,4.85954,5.04085,4.99584,5.38785,4.87633,4.75787,4.90545,4.46212,5.57711,5.38896,5.12707,6.44161,6.17573,5.48656,5.70578,6.74497,5.80755,4.20116,2.74008,2.52004,2.60552,2.44050,1.82549
Pacific Gas and Electric Company,SPS672614174,4004218,694308JH1,PCG-PacGas+Elec 3.3 08/01/2040 FIX USD Corporate,5.95017,5.89079,5.57770,5.76160,5.76851,5.66114,5.74144,5.71066,5.95433,6.03396,6.20562,6.25780,6.18987,5.95078,5.79684,6.19865,5.77012,5.49242,5.70447,5.40165,6.14517,5.83294,5.82074,6.90415,6.44695,6.01241,6.30692,6.81767,6.15316,4.78044,3.81754,3.85777,3.96674,4.02718,3.28428
Pacific Gas and Electric Company,SPS672614175,4004218,694308JJ7,PCG-PacGas+Elec 3.5 08/01/2050 FIX USD Corporate,6.21256,6.21394,5.93039,6.04403,6.04885,5.91184,5.96226,5.95234,6.23619,6.23566,6.37272,6.46517,6.39951,6.12520,5.95790,6.23860,5.89427,5.57093,5.77989,5.50983,6.19272,5.88015,5.76824,6.79429,6.29500,6.03632,6.36501,6.54838,5.93436,4.77260,3.87023,3.99702,4.14990,4.25525,3.51461
Pacific Gas and Electric Company,SPS673519730,4004218,694308JK4,PCG-PacGas+Elec 3.75 07/01/2028 FIX USD Corporate,4.59410,4.56465,4.01397,4.18984,4.28814,4.28811,4.41815,4.46467,4.46364,4.83541,4.82713,4.98342,4.84457,5.04122,5.05341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS673519732,4004218,694308JM0,PCG-PacGas+Elec 4.55 07/01/2030 FIX USD Corporate,4.84706,4.86544,4.38026,4.59870,4.65887,4.62283,4.68442,4.68290,4.76405,4.97882,5.08913,5.25948,5.24740,5.25218,5.27314,5.68574,5.23185,4.96122,5.14389,4.68120,5.56890,5.46322,5.38708,6.70443,6.24490,5.59910,6.12771,6.93967,6.33346,4.64567,3.32567,3.39733,3.57870,3.39985,2.76236
Pacific Gas and Electric Company,SPS705892846,4004218,694308JT5,PCG-PacGas+Elec 3.25 06/01/2031 FIX USD Corporate,4.90556,4.96692,4.49570,4.73108,4.69326,4.73602,4.79457,4.88007,4.93403,5.19212,5.27899,5.46141,5.36517,5.35275,5.21673,5.67225,5.33552,5.01493,5.18262,4.81594,5.70993,5.45829,5.46860,6.70837,6.23029,5.53723,6.10406,6.90213,6.04829,4.53112,3.20002,3.28038,3.45100,3.27819,0
PacifiCorp,SPS14165434,4001587,695114BX5,SCOTPO-Pacifico 5.9 08/15/2034 FIX USD Corporate,5.51974,5.58540,5.04186,5.33936,5.36002,4.99783,4.99929,5.04825,5.16633,5.24973,5.43348,5.75327,5.30595,5.25035,5.11878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PacifiCorp,SPS1837759730,4001587,695114DA3,SCOTPO-Pacifico 5.5 05/15/2054 FIX USD Corporate,6.23624,6.45003,6.15366,6.23084,6.29333,6.12112,5.92485,5.90610,6.14054,6.13652,6.08061,6.25530,6.15910,5.95472,5.84799,6.06527,5.96576,5.56870,5.76113,5.45799,6.02611,5.75936,5.62514,6.66338,5.93919,0,0,0,0,0,0,0,0,0,0
PacifiCorp,SPS1982574572,4001587,695114DH8,SCOTPO-Pacifico 4.25 03/15/2029 FIX USD Corporate,4.59557,4.63443,3.98654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PacifiCorp,SPS28602401,4001587,695114CA4,SCOTPO-Pacifico 6.1 08/01/2036 FIX USD Corporate 144A,5.54938,5.77561,5.24111,5.46852,5.59253,5.42818,5.14444,5.22242,5.40033,5.57168,5.49598,5.75465,5.59995,5.53860,5.46097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PacifiCorp,SPS33224902,4001587,695114CE6,SCOTPO-Pacifico 5.75 04/01/2037 FIX USD Corporate,5.58990,5.83641,5.45260,5.53912,5.54665,5.40209,5.26102,5.32603,5.47375,5.58898,5.52276,5.78030,5.65353,5.59006,5.56461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PacifiCorp,SPS37480617,4001587,695114CG1,SCOTPO-Pacifico 6.25 10/15/2037 FIX USD Corporate,5.64595,5.82106,5.48843,5.62527,5.72115,5.60331,5.34655,5.40878,5.60176,5.67261,5.58871,5.85714,5.65926,5.63980,5.58087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PacifiCorp,SPS573563734,4001587,695114CT3,SCOTPO-Pacifico 4.125 01/15/2049 FIX USD Corporate,6.15436,6.34260,6.03360,6.15540,6.19888,6.02044,5.84448,5.85849,6.06014,6.06074,5.98909,6.24526,6.05152,5.92680,5.81096,6.01777,5.87434,5.53003,5.72589,5.37258,5.98801,5.74098,5.47015,6.52045,5.80754,5.12563,5.38126,5.63161,4.79568,4.09209,3.16796,3.11802,3.04371,3.42596,2.65021
PacifiCorp,SPS604263577,4001587,695114CU0,SCOTPO-Pacifico 3.5 06/15/2029 FIX USD Corporate,4.66891,4.77826,4.13102,4.26096,4.36256,4.34809,4.21884,4.31711,4.29773,4.56250,4.40622,4.65665,4.51196,4.61187,4.62323,4.92779,4.98146,4.69295,4.79391,4.27572,5.13597,4.98839,4.69648,5.82405,5.48230,4.61191,4.94595,5.22238,4.32166,3.28192,2.23440,1.98606,1.94496,2.29753,1.48433
PacifiCorp,SPS604263578,4001587,695114CV8,SCOTPO-Pacifico 4.15 02/15/2050 FIX USD Corporate,6.14783,6.35880,6.03400,6.14482,6.22655,6.02281,5.83565,5.90500,6.05394,6.02820,5.99806,6.23620,6.10124,5.89401,5.78969,5.99085,5.89367,5.53901,5.75355,5.38048,5.97536,5.74630,5.48835,6.52645,5.82067,5.10509,5.37488,5.52560,4.81923,3.85182,3.13309,3.09802,2.99987,3.40646,2.64106
PacifiCorp,SPS64621708,4001587,U69458AA2,SCOTPO-Pacifico 6.1 08/01/2036 FIX USD Corporate RegS,5.52138,5.50480,5.45971,5.74016,5.66602,5.51314,5.31014,5.33491,5.43696,5.54390,5.45348,5.68577,5.44845,5.46285,5.43553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pipeline Funding Company, LLC",SPS73143603,4243759,724060AA6,PIPEFUN 7.5 01/15/2030 FIX USD Corporate 144A,7.00012,6.31299,6.24977,6.50466,6.22097,6.56429,6.44133,6.79350,6.65988,6.60590,6.24116,6.21172,6.25749,6.02753,6.10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Public Service Company of North Carolina, Incorporated",SPS14038977,4057139,744516AB1,SCG-PSCN 7.45 12/15/2026 FIX USD Corporate,4.64975,4.55935,4.16295,4.29696,4.24779,4.28481,4.62404,4.63466,4.67245,4.97344,4.83917,5.04213,4.87132,5.14712,5.03602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Service Company of Oklahoma,SPS1677250893,4057023,744533BP4,AEP-PubSvcOK 3.15 08/15/2051 FIX USD Corporate,5.94232,5.88598,5.59469,5.75960,5.69742,5.57539,5.60278,5.70157,5.99692,5.99137,5.92948,6.08992,5.93660,5.78966,5.65280,5.85965,5.87726,5.49111,5.59425,5.31759,5.74279,5.50051,5.32077,6.11278,5.42043,5.20907,5.44689,5.61943,4.86277,3.81705,3.06065,3.15024,0,0,0
"Qwest Capital Funding, Inc.",SPS31497284,4136576,U74902AD6,QUS-CapFund 02/15/2031 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qwest Corporation,SPS14014233,4057217,624284BD6,QUS-Corp 7.375 05/01/2030 FIX USD Corporate,8.00233,7.01294,7.51538,7.43429,7.10916,7.10878,7.15577,7.64133,8.18544,9.21521,9.85355,9.97571,11.35698,10.80866,11.16107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qwest Corporation,SPS14015047,4057217,668027AT2,QUS-Corp 7.75 05/01/2030 FIX USD Corporate,7.94292,8.07500,7.51696,7.44278,7.24494,7.20163,7.07707,7.92664,8.53516,9.20978,9.86530,10.25922,11.94563,10.80067,10.69842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Range Resources Corporation,SPS1764217635,4135999,75281ABL2,RRC 4.75 02/15/2030 FLT USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raytheon Company,SPS14045686,4020418,755111AF8,RTN 7.2 08/15/2027 FIX USD Corporate,4.35457,4.17943,3.78164,3.88492,3.92066,3.98239,4.05607,4.06146,3.94557,4.33824,4.06827,4.42213,4.30101,4.34651,4.43116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raytheon Company,SPS14062322,4020418,755111AP6,RTN 7.0 11/01/2028 FIX USD Corporate,5.75262,5.80175,5.27253,5.40526,4.18698,5.37382,5.30258,5.37056,5.44747,5.48373,5.76227,5.78948,5.86784,5.27584,5.28560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rithm Capital Corp.,SPS1873375400,4347089,U65228AB1,RITHCAP 8.0 03/01/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rocket Software, Inc.",SPS1964397593,4246858,77314EAD0,ROCKSOF 11/28/2028 FLT USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTX Corporation,SPS669021932,4001600,U7532YAK0,RAYTHTE 11/15/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTX Corporation,SPS669021933,4001600,U7532YAL8,GLBL REGS NT 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTX Corporation,SPS669021934,4001600,U7532YAM6,RTXCOR 7.0 04/15/2038 FIX USD Corporate RegS,5.53753,5.54008,5.13316,5.42591,5.34402,5.21914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTX Corporation,SPS669021935,4001600,U7532YAN4,GLBL REGS NT 46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sabine Pass Liquefaction, LLC",SPS1815101577,4368513,U77888AN2,SABIPAS 09/15/2037 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65282,5.30548,5.19882,4.95304,5.46448,5.34682,5.06421,6.16029,5.68965,5.52987,5.97122,0,0,0,0,0,0,0,0
"Sabine Pass Liquefaction, LLC",SPS1815101683,4368513,785592AY2,SABIPAS 09/15/2037 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65282,5.30548,5.19882,4.95304,5.46448,5.34682,5.06421,6.16029,5.68965,5.52987,5.97122,0,0,0,0,0,0,0,0
"Sabine Pass Liquefaction, LLC",SPS1849002116,4368513,785592AZ9,SABIPAS 5.9 09/15/2037 FIX USD Corporate,4.96514,4.86540,4.66666,4.89357,4.93582,4.78968,5.00491,4.97804,4.99146,4.98212,5.04848,5.49805,5.61200,5.33080,5.33689,5.67371,5.65282,5.30548,5.19882,4.95304,5.46448,5.34682,5.06421,6.16029,0,0,0,0,0,0,0,0,0,0,0
Six Flags Entertainment Corporation,SPS622854468,4121677,150190AD8,CEDAR 5.25 07/15/2029 FIX USD Corporate,6.51896,6.80032,6.55403,6.52556,7.42130,7.54716,6.38984,6.21166,6.17425,6.02391,5.79970,5.97550,6.54179,6.76007,6.01474,6.11570,6.22996,5.95219,6.14454,5.68940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS112583104,4009083,842400FQ1,EIX-SouCalEd 4.5 09/01/2040 FIX USD Corporate,5.96605,5.96810,5.61501,5.79430,5.76881,5.59993,5.68167,5.65796,5.75535,5.96983,6.15923,6.46452,6.25447,5.93925,5.78653,6.14957,5.68917,5.30344,5.42208,5.10028,5.81788,5.53908,5.38449,6.27411,5.64193,5.49195,5.80609,6.15399,5.43463,4.34415,3.43167,3.47589,3.38487,3.62726,3.07122
Southern California Edison Company,SPS14151148,4009083,842400ES8,EIX-SouCalEd 6.0 01/15/2034 FIX USD Corporate,5.36718,5.25239,4.96548,5.19938,5.21890,5.15374,5.25294,5.29527,5.37394,5.59849,5.59430,5.80927,5.86426,5.57535,5.54203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS14157728,4009083,842400EV1,EIX-SouCalEd 5.75 04/01/2035 FIX USD Corporate,5.53376,5.45962,5.09158,5.30103,5.27122,5.17409,5.27372,5.31826,5.32291,5.52521,5.46612,5.60801,5.69730,5.52564,5.59778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS14172129,4009083,842400EZ2,EIX-SouCalEd 5.55 01/15/2036 FIX USD Corporate,5.63658,5.47303,5.15189,5.32167,5.48117,5.30343,5.41773,5.41366,5.57871,5.88049,5.77348,5.95677,5.89245,5.84894,5.77853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS14179241,4009083,842400FA6,EIX-SouCalEd 5.35 07/15/2035 FIX USD Corporate,5.50743,5.46384,5.09148,5.31688,5.26561,5.16565,5.28254,5.29489,5.34288,5.63265,5.67934,5.88036,5.89845,5.64331,5.55445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS143212055,4009083,842400FT5,EIX-SouCalEd 3.9 12/01/2041 FIX USD Corporate,6.22394,6.13337,5.69263,5.93303,6.00788,5.97213,6.00846,6.04194,6.16490,6.31874,6.29823,6.61404,6.57123,6.19122,5.99335,6.21892,5.97548,5.64616,5.64542,5.31337,5.90518,5.68102,5.42866,6.50584,5.81855,5.70195,6.15717,6.45124,5.68920,4.53145,3.57626,3.60369,3.64945,3.75624,3.41281
Southern California Edison Company,SPS1763903340,4009083,842400HM8,EIX-SouCalEd 2.75 02/01/2032 FIX USD Corporate,4.94851,4.89619,4.51164,4.71851,4.84112,4.81836,4.91058,4.97449,4.97842,5.20748,5.26304,5.62897,5.39157,5.36310,5.42489,5.74321,5.21846,4.84316,4.96226,4.52029,5.26806,5.15630,4.74050,5.80273,5.13902,4.70876,5.02824,5.58489,4.76637,3.63466,0,0,0,0,0
Southern California Edison Company,SPS1763903341,4009083,842400HN6,EIX-SouCalEd 3.45 02/01/2052 FIX USD Corporate,6.17778,6.11917,5.87778,5.99388,6.01070,5.87769,5.92003,5.96436,6.12722,6.19738,6.33144,6.49299,6.31428,6.05775,5.90337,6.12652,5.83066,5.39403,5.51922,5.20043,5.76398,5.52304,5.27265,6.16331,5.37493,5.17362,5.37063,5.74770,5.11756,3.99714,0,0,0,0,0
Southern California Edison Company,SPS177843184,4009083,842400FV0,EIX-SouCalEd 4.05 03/15/2042 FIX USD Corporate,6.21457,6.21172,5.82452,5.97154,6.03170,5.85744,5.90083,5.93955,6.07565,6.17776,6.41833,6.63296,6.39528,6.10465,5.91206,6.18642,5.84403,5.45116,5.58970,5.26347,5.85783,5.51752,5.41110,6.32452,5.73332,5.46631,5.78705,6.41163,5.48170,4.32863,3.43523,3.59087,3.55336,3.69363,3.10116
Southern California Edison Company,SPS1783883637,4009083,842400HQ9,EIX-SouCalEd 4.7 06/01/2027 FIX USD Corporate,4.39167,4.47882,4.00272,4.08372,4.09369,4.23810,4.39461,4.38423,4.35787,4.63529,4.48417,4.84723,4.47257,4.81751,4.91952,5.34233,4.66031,4.51475,4.61332,4.11462,5.21595,5.06274,4.46894,5.62197,5.15103,4.56082,5.13479,5.40634,4.63082,0,0,0,0,0,0
Southern California Edison Company,SPS1783883638,4009083,842400HR7,EIX-SouCalEd 5.45 06/01/2052 FIX USD Corporate,6.37535,6.34690,6.05775,6.17540,6.22396,6.04924,6.04824,6.14945,6.28869,6.46998,6.52392,6.72450,6.50820,6.22445,6.00660,6.33861,5.89326,5.45803,5.57918,5.28806,5.89635,5.60376,5.38890,6.26167,5.63594,5.39106,5.71855,6.18974,5.55625,0,0,0,0,0,0
Southern California Edison Company,SPS1814214976,4009083,842400HT3,EIX-SouCalEd 5.95 11/01/2032 FIX USD Corporate,5.07915,5.01716,4.63545,4.83884,4.87537,4.82958,4.98051,4.99480,5.02558,5.30829,5.48225,5.66061,5.61260,5.50310,5.47622,5.78198,5.24676,4.89118,5.02283,4.59176,5.40712,5.17340,4.84892,5.92089,5.25910,4.82267,5.11170,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1814214977,4009083,842400HS5,EIX-SouCalEd 5.85 11/01/2027 FIX USD Corporate,4.47759,4.47317,4.00244,4.06659,4.16324,4.27664,4.42326,4.42380,4.32145,4.71820,4.64079,4.83007,4.83216,4.82324,4.91493,5.35730,4.73811,4.51328,4.60292,4.06889,5.17375,4.97051,4.52165,5.72378,5.20954,4.50925,5.21111,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1827629925,4009083,842400HU0,EIX-SouCalEd 5.3 03/01/2028 FIX USD Corporate,4.56514,4.46601,4.03473,4.07245,4.20246,4.32579,4.40197,4.49265,4.31770,4.79281,4.77045,4.85616,4.75639,4.84900,4.95792,5.28881,4.88133,4.55943,4.69462,4.17355,5.22759,4.92705,4.56502,5.59227,5.27506,4.72973,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1827629926,4009083,842400HV8,EIX-SouCalEd 5.7 03/01/2053 FIX USD Corporate,6.37065,6.27520,6.05517,6.15817,6.23161,6.08464,6.09140,6.15066,6.28432,6.46967,6.49396,6.68479,6.51261,6.19952,6.06492,6.37027,5.90345,5.44736,5.60449,5.29501,5.86139,5.65804,5.33015,6.28969,5.66602,5.38609,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1838048845,4009083,842400HW6,EIX-SouCalEd 4.9 06/01/2026 FIX USD Corporate,4.52524,5.02141,4.06794,4.17321,3.91094,3.50053,4.15691,4.62228,4.16370,4.73037,4.78558,4.87293,4.50915,4.72984,4.85155,5.15581,4.72578,4.63503,4.49461,4.19274,5.34666,5.15506,4.66285,5.60666,5.40720,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1838048846,4009083,842400HX4,EIX-SouCalEd 5.875 12/01/2053 FIX USD Corporate,6.33375,6.26605,6.03212,6.15918,6.17542,6.02211,6.04760,6.11545,6.25742,6.41962,6.56053,6.70425,6.49284,6.17425,6.04418,6.34030,5.91995,5.45519,5.60887,5.26354,5.88714,5.66233,5.35709,6.31360,5.70434,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1867801573,4009083,842400HZ9,EIX-SouCalEd 5.2 06/01/2034 FIX USD Corporate,5.36186,5.30734,4.95955,5.18317,5.10304,5.05261,5.18622,5.26573,5.28585,5.43315,5.61776,5.79485,5.77954,5.53302,5.47131,5.82933,5.32888,5.00665,5.15196,4.70214,5.52204,5.32710,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1867801574,4009083,842400JA2,EIX-SouCalEd 4.875 02/01/2027 FIX USD Corporate,4.24925,4.52698,3.96457,3.97759,4.17870,4.27423,4.34641,4.33808,4.25705,4.72087,4.41213,4.77213,4.61569,4.64876,4.85366,5.32960,4.66678,4.47475,4.56341,4.20515,5.17079,5.00028,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1872828499,4009083,842400JC8,EIX-SouCalEd 5.15 06/01/2029 FIX USD Corporate,4.71420,4.64874,4.16810,4.34456,4.43360,4.50919,4.57150,4.60912,4.49293,4.84234,4.79324,4.97151,4.83879,4.98108,4.93761,5.43933,4.98584,4.66679,4.71128,4.21687,5.14892,5.03349,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1872828501,4009083,842400JD6,EIX-SouCalEd 5.75 04/15/2054 FIX USD Corporate,6.38180,6.28719,6.03791,6.15389,6.20819,6.05415,6.08238,6.18023,6.26151,6.39417,6.54056,6.67554,6.57268,6.17139,6.04925,6.31194,5.86558,5.43802,5.60434,5.26608,5.88057,5.64309,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1880363871,4009083,842400JE4,EIX-SouCalEd 5.45 06/01/2031 FIX USD Corporate,4.88990,4.88031,4.42101,4.66660,4.67958,4.69861,4.78587,4.82401,4.74416,5.04063,5.09502,5.31250,5.20767,5.21815,5.16261,5.53668,5.16266,4.81397,4.98648,4.30271,5.30908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1893299773,4009083,842400JF1,EIX-SouCalEd 4.4 09/06/2026 FIX USD Corporate,4.32850,4.40965,3.72170,4.04295,4.07130,4.10289,4.13815,4.20967,4.27114,4.62546,4.46672,4.69068,4.53007,4.71352,4.83603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1915273746,4009083,842400JG9,EIX-SouCalEd 5.45 03/01/2035 FIX USD Corporate,5.46607,5.36664,5.06030,5.27265,5.24258,5.13074,5.26649,5.27828,5.35324,5.49740,5.69313,5.86749,5.83022,5.56293,5.52520,5.85063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern California Edison Company,SPS1915273747,4009083,842400JH7,EIX-SouCalEd 5.9 03/01/2055 FIX USD Corporate,6.33372,6.23425,6.02302,6.13889,6.14765,6.00933,6.02950,6.11489,6.25672,6.33617,6.54074,6.66800,6.53427,6.16100,5.98880,6.24817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
